Grantee,Disaster Type,Disbursement_Velocity,Disbursement_TV_Mean,Disbursement_TV_Std,Disbursement_TV_Count,Disbursement_TV_Min,Disbursement_TV_Max,Disbursement_TV_Lag1_Mean,Disbursement_TV_Lag1_Std,Disbursement_TV_Lag1_Count
"New Orleans, LA",2011-2013 Hurricane Sandy and Other Events,0.026837177254257702,2.5127446690577977,17.262757984788017,36,-51.06917331996503,56.779179210118194,2.5824299772572825,17.50964427554,35
"New Orleans, LA",2013 National Disaster Resilience,0.006179977668573753,0.6179977668573753,0.5780731835273338,31,0.0,2.6236754504365614,0.6357392868871516,0.5793078491864989,30
New York,2011 Multiple Disasters,0.030285101251371863,-3.2297397080004555e-16,1.273583030317393,33,-4.194561838421029,3.5936934035113333,1.3877787807814457e-17,1.293961652764771,32
New York,2011-2013 Hurricane Sandy and Other Events,0.02127589389107225,-0.04610057276126223,4.2443344950696575,46,-20.7134208238421,18.791847847191622,-0.049262200418271423,4.292239819193194,45
New York,2013 National Disaster Resilience,0.039964478472404745,0.5853697156416326,3.260827198912503,25,-4.208665447132032,14.634242891040817,0.6097601204600349,3.3286302274796493,24
New York,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.23177766638818964,0.0,0.0,2,0.0,0.0,0.0,,1
"New York City, NY",2011-2013 Hurricane Sandy and Other Events,0.02181093999993646,2.1809114681965878,15.535732391255078,44,-13.400568209367425,99.99159732905895,2.2201540669857263,15.717386895830002,43
"New York City, NY",2013 National Disaster Resilience,0.029814139835634666,-1.4975563762625927,18.467743770700075,13,-47.55021094745692,23.4296135733863,-1.645174820452299,19.28091682979605,12
"New York City, NY","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0114904693217079,1.1487995163018947,0.9395438163269217,3,0.25158676612445363,2.1256099651040152,1.1885983656142345,1.3251345120993547,2
North Carolina-NCORR,2015-2018 Mitigation,0.015186816808260808,1.5118938229799281,15.01909735883175,18,-47.32340872890055,16.58720817273833,2.8020945675086977,14.416511273833867,17
North Carolina-NCORR,2016 Louisiana Floods and Other Events,0.03818060837718062,3.776358959178933,8.530161697778704,26,-14.802118311086087,33.58605827590464,3.860630780774701,8.695006550245465,25
North Carolina-NCORR,2018 Disasters,0.05996031474602094,5.8210523784481625,12.722933419076709,16,-24.920588933723597,25.564286433948492,6.206480603084047,13.072441956461724,15
North Carolina-NCORR,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0023824182656194165,0.23824182656194162,0.3821253677030217,6,0.0,0.8725487756396758,0.2857414181635198,0.4069436838007644,5
