source,model,capacity_set,variable,p_value,effect_ratio,effect_lower,effect_upper,n,events,interpretation,bonferroni,rank,bh_raw,bh_fdr,sig_bonferroni,sig_bh_fdr
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q25_interaction,Ratio_disbursed_to_obligated_c,0.165631516045116,2.5034344760004816,0.6840906459878187,9.161335873227834,151,40,Hazard Ratio (>1 = faster completion),1.0,155,0.5097176332485183,0.5097176332485183,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_interaction,Ratio_disbursed_to_obligated_high,0.1717348438887803,1.7695312580073816,0.7805408005542734,4.011629976090483,151,40,Hazard Ratio (>1 = faster completion),1.0,156,0.5251123111214628,0.5251123111214628,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q67_interaction,Ratio_disbursed_to_obligated_above_q67_x_Capacity_Velocity_Index_pp,0.1797889063349518,2.1090702981508804,0.7088473789131596,6.275226028714972,151,40,Hazard Ratio (>1 = faster completion),1.0,157,0.5462376326227516,0.5374909346641491,False,False
capacity_sets,Cox_PH,velocity,Disbursement_Velocity,0.1802904602647038,8579.857757345426,0.0151196418519057,4868763417.633603,151,40,Hazard Ratio (>1 = faster completion),1.0,158,0.5442946173814159,0.5374909346641491,False,False
capacity_sets,Cox_PH,velocity_scaled,Disbursement_Velocity_scaled,0.1802904602647039,1.3912606471533622,0.8582799056984394,2.2552155485248844,151,40,Hazard Ratio (>1 = faster completion),1.0,159,0.5408713807941117,0.5374909346641491,False,False
capacity_sets,Cox_PH,velocity_pp,Disbursement_Velocity_pp,0.1802904602647041,1.094800030605221,0.9589487889866776,1.249896887903411,151,40,Hazard Ratio (>1 = faster completion),1.0,160,0.5374909346641491,0.5374909346641491,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_interaction,Ratio_disbursed_to_obligated_above_x_Disbursement_Velocity_pp,0.1970852609658583,1.2905809431075137,0.8758918067963225,1.9016037800426573,151,40,Hazard Ratio (>1 = faster completion),1.0,163,0.5767464385319903,0.573352218565162,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_spline_q33_interaction,Ratio_disbursed_to_obligated_c,0.1971273875150662,2.3757947664750994,0.6378595961250915,8.848970536305204,151,40,Hazard Ratio (>1 = faster completion),1.0,164,0.573352218565162,0.573352218565162,False,False
capacity_sets,Cox_PH,ratio_velocity_index_pp_spline_q33_interaction,Ratio_disbursed_to_obligated_c,0.2034629637872761,2.3542567094257234,0.6291701948690717,8.809261308109832,151,40,Hazard Ratio (>1 = faster completion),1.0,165,0.5881929316759437,0.5881929316759437,False,False
capacity_sets,Cox_PH,ratio_velocity_pp_threshold_q67_interaction,Ratio_disbursed_to_obligated_high_q67_x_Disbursement_Velocity_pp,0.2069399184137278,1.102143135407992,0.9476349221436666,1.2818433159672025,151,40,Hazard Ratio (>1 = faster completion),1.0,166,0.5946406089358323,0.5912746868086873,False,False
