Grantee,Disaster Type,Expenditure_Velocity,Expenditure_TV_Mean,Expenditure_TV_Std,Expenditure_TV_Count,Expenditure_TV_Min,Expenditure_TV_Max,Expenditure_TV_Lag1_Mean,Expenditure_TV_Lag1_Std,Expenditure_TV_Lag1_Count
Mississippi,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.005005131679054524,0.49225579374181144,0.460505408311649,7,-0.04707937917987364,1.0285502062697782,0.5742984260321133,0.44490215979573766,6
Missouri,2015-2018 Mitigation,0.036706538837998015,3.6671172296409513,2.286478742200955,14,0.15145521109073412,8.936427622736993,3.9375527695294297,2.134111175568777,13
Missouri,"2017 Hurricanes Harvey, Irma and Maria",0.02481688785046551,2.0653343396844184,11.654630831214469,21,-31.252552311564653,26.600242804255743,2.2010849059758875,11.940352955669951,20
Missouri,2019 Disasters,0.009695510308439214,0.9695510308439215,1.141036491443374,8,0.0,3.6521921843861014,1.1080583209644816,1.1575427160088976,7
"Moore, OK",2011-2013 Hurricane Sandy and Other Events,0.02699499938271605,0.8436627068578504,15.944495270469892,36,-64.5974118682892,55.99913733833497,0.8671082149574563,16.17664430983959,35
"Nashville-Davidson, TN",2010 Severe Storms and Flooding,0.01948268945002191,-4.174959879530269,36.5383429797823,47,-245.66345037029117,11.663481927934354,-4.265719876911362,36.93673695063977,46
"Nashville-Davidson, TN","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.008653774208822988,0.8653774208822989,1.3879903896520984,3,0.0,2.4663378297467684,1.2980661313234483,1.6521856804469097,2
Nebraska,2019 Disasters,0.020657428854944367,-24.47269549809539,46.674555029068074,6,-114.8647139044184,4.245560930723655,-29.36740836192855,50.43268785030772,5
New Jersey,2011-2013 Hurricane Sandy and Other Events,0.019118824603156948,1.911882460315695,7.976190003379335,47,-33.03357443929394,19.306469871305783,1.953676437888092,8.059122472459821,46
New Jersey,2013 National Disaster Resilience,0.030410404933333333,3.0410404933333335,3.8608836844158745,30,-9.550477253933442,12.282214720600109,3.1459039586206896,3.8855016250284717,29
New Jersey,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.012602304994592682,1.2394129595217087,0.8914444571378323,6,0.0,2.3871963715818043,1.4872955514260504,0.7297247288759628,5
"New Orleans, LA",2011-2013 Hurricane Sandy and Other Events,0.031000873598848164,1.2059613546152377,17.90306131398994,36,-44.264231734696644,58.39589044434474,1.24041739331853,18.163222585113623,35
"New Orleans, LA",2013 National Disaster Resilience,0.006902178534278298,0.6902178534278297,0.490928694169916,31,0.0,2.21705185437418,0.7132251152087574,0.48202334951138837,30
New York,2011 Multiple Disasters,0.030297315482409215,3.0297315482409215,14.118388209342339,33,-5.480729703193177,77.47660727365573,3.1249999999999996,14.333515879931038,32
New York,2011-2013 Hurricane Sandy and Other Events,0.021680150531852467,2.168015053185247,12.517788192338164,46,-2.1392163932242414,84.77373069449902,2.2156749484883282,12.655015194700848,45
New York,2013 National Disaster Resilience,0.04,4.0,26.58508539725449,25,-36.62414790498285,124.77436525265466,4.166666666666668,27.143528099824284,24
New York,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0,-23.177766638818966,5.84599523193233,2,-27.31150951010254,-19.04402376753539,-19.04402376753539,,1
"New York City, NY",2011-2013 Hurricane Sandy and Other Events,0.021921737598550147,2.192173759855015,17.840134789294495,44,-26.904415831362115,109.58683075567555,2.2431640764583296,18.04802348792668,43
